ф оп спр,,Юдеї1,Юдеї2,Юдеї3,Юдеї4,Юдеї5,Юдеї6,Юдеї7,Юдеї8,Юдеї9,Юдеї10,Юдеї11,Юдеї12,Юдеї13,Юдеї14,Юдеї15,Юдеї16,Юдеї17,Юдеї18,Юдеї19,Юдеї20,Юдеї21,Юдеї22,Юдеї23,невизначеності Меєровича
,,Баре/інштейн,Білик,Бройштейн,Вигоднер,Гинзбург,Горінштейн,Дра/ойзман,Землеруд,Керцинель,Корман,Кудельман,Лібов,Магазиник,Мі/ительман,Остенберг,Пріцкер,Розенблюм,Славчер,Тоубензон,Фішнер,Цвішельзон,Шкут,Юхта,Зильберштейн
,,Бармштейн,Білиловський,Брона,Видра,Гільштейн,Гофман,Драмуцкий,Зє/ільбрут,Керцман,Король,Кудіш,Лібович,Мазліс,Мілман,Островський,Прозумент,Розенбор,Сліпак,Трахтаковський,Фраєр,Цигель,Шлейгер,Яблочнік,Кайне?
,,Барон,Біляк,Бронштейн,Видухловський,Гімельрех,Гримберг,Дратва,Зібермо/ан,Кесельбренер,Король,Кукелянський,Лібовнік,Майнейн,Мількес,Охман,Пружевський,Ройзенблат,Слободинський,Трочевський,Фрайбарг,Ципель,Шлейфер,Ягнятинський,Каменка
,,Барський,Бірман,Броцький,Виходє/іц,Гінц/сберг,Грінбе/арг,Дрінштейн,Зілберкум,Кігель,Короткий,Куколянський,Лівшенц,Маломед,Мінкер,Палій,Пупкін,Ройзенман,Служевський,Тубінсляк,Фрайберг,Цирульник,Шманк,Яманчик,Качук
,20,Батумський,Біск,Букшпун,Вінокур,Гіпенфер,Грінберг,Дройзман,Івенський,Кіпніц,Корох,Кумер,Лівшиц,Мамідов,Мітнік,Пахтеровіч,Пустільник,Ройзенштад,Собель,Умінскі,Фрайман,Цуйфер,Шмесен-Махір,Ямпольський,Коренфент?
,,Батунський,Бішенкевич,Булаєвський,Волдман,Гітельман,Гріншпун,Друзман,Івницький,Кіржанський,Косман,Купір-Шмід,Лівшиць,Маміт,Міхельсон,Пекар,Пятецький,Ройтер,Сокол,Файбишенко,Френкель,Черняк,Шнадерман,Янкеліс,Куфин
,,Безіменний,Блаз,Булалаєвський,Волкінштейн,Гітерман,Гріф,Друкер,Ігнятинський,Клейнершехет,Кост,Купчик,Лігерман,Манзон,Модиховіч,Пекарський,Рабінович,Ройтман,Солодовський,Файбіченко,Фрідвальд,Чичильницький,Шнайдер,Яновський,Литевский
,,Безмянський,Бланка,Бумаєвський,Воловнік,Гішиктор,Гробер,Дубенський,Іляк,Клецельман,Кот,Куреф,Ліпелесь,Маніс,Морозовський,Пеке/іліс,Радовський,Росласка,Сопіс,Файнман,Фрідман,Чудіновський,Шнайдерман,Ярославський,Медихович
,,Бейдер,Блюмен,Буревой,Володарський,Глікман,Громб,Дужанський,Індик,Клінкенмахер,Котляр,Куцин,Ліпіліс,Маргуліс,Мучнік,Пекелес,Райлер,Россоський,Спектор,Фарбер,Фрідріх,Чудновський,Шойхен,Ясногородський,Мешурис
,25,Бейдік,Бобовскіх,Бурман,Вольфензон,Глюзберг,Грос,Ейнгель,Ітельман,Клубок,Кофман,Кушнеров,Лісер,Мармерштейн,Натенюк,Пекер,Райшпиль,Рубанський,Ставинський,Фельдблюм,Фріман,Шапіра,Шпак,,Миник?
,,,,,,,,,,,,,,,,,,,,,,,,,Мыстечкин
,,,,,,,,,,,,,,,,,,,,,,,,,Нуз
,,,,,,,,,,,,,,,,,,,,,,,,,Пекарент?
,,,,,,,,,,,,,,,,,,,,,,,,,Пивинь
,,,,,,,,,,,,,,,,,,,,,,,,,Ройзенштейн
,,,,,,,,,,,,,,,,,,,,,,,,,Россовский
,,,,,,,,,,,,,,,,,,,,,,,,,Самдар
,,,,,,,,,,,,,,,,,,,,,,,,,Сишейн?
,,,,,,,,,,,,,,,,,,,,,,,,,Соболь?
,,,,,,,,,,,,,,,,,,,,,,,,,Сонис
,,,,,,,,,,,,,,,,,,,,,,,,,Тинзевский?
,,,,,,,,,,,,,,,,,,,,,,,,,Фишбайн
,,,,,,,,,,,,,,,,,,,,,,,,,Фишбин
,,,,,,,,,,,,,,,,,,,,,,,,,Цымельзон
,,,,,,,,,,,,,,,,,,,,,,,,,Шапивский
,,,,,,,,,,,,,,,,,,,,,,,,,Штейберг
,,,,,,,,,,,,,,,,,,,,,,,,,Штульайзен
,,,,,,,,,,,,,,,,,,,,,,,,,Янкиль
