Старовичі,"ДАКО 384-9-453. 1897 рік. Листи перепису Радомисльський повіт Розважівська волость с. Старовичі, 13-а переписна дільниця, 8-а рахункова.pdf", + ,ДАКО_384-9-454._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_волость_с._Старовичі%2C_13-а_переписна%2C_8-а_рахункова_частина_2.pdf,Олива (Мар'янівка),"ДАКО_384-9-449._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Олива,_сл._Мар’янівка,_13-а_переписна_6-а_рахункова_частина_2.pdf",,,Олизарівка,ДАКО_384-9-455._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_волость_с._Олизарівка%2C_13-а_переписна_дільниця%2C_11-а_рахункова.pdf, + ,ДАКО_384-9-457._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Олизарівка%2C_13-а_переписна_дільниця%2C_11-а_рахункова_частина_2.pdf,"Красилівка, Осниця",,ДАКО_384-9-456._1897_рік._Листи_перепису_Радомисльський_Розважівська_Красилівка%2C_Осниця_13_переписна_11_рахункова_частина_2_та_3.pdf,,Заруддя,ДАКО_384-9-452._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Заруддя%2C_13-а_переписна_дільниця%2C_7-а_рахункова_частина_3.pdf,ДАКО_384-9-451._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Заруддя%2C_13-а_переписна_дільниця%2C_7-а_рахункова_частина_2.pdf,"ДАКО_384-9-450._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_волость_с._Заруддя,_13-а_переписна_дільниця,_7-а_рахункова.pdf",Кухарська сл.,ДАКО_384-9-448._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Слобода_Кухарська%2C_13-а_переписна_дільниця%2C_6-а_рахункова.pdf,,,Кухарі,ДАКО 384-9-444. 1897 рік. Листи перепису Радомисльський повіт Розважівська волость с. Кухарі 13-а переписна 5-а рахункова.pdf,ДАКО_384-9-445._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Кухарі%2C_13-а_переписна_дільниця%2C_5-а_рахункова_частина_2.pdf,ДАКО_384-9-446._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Кухарі%2C_13-а_переписна_дільниця%2C_5-а_рахункова_частина_3.pdf,ДАКО_384-9-447._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Кухарі%2C_13-а_переписна_дільниця%2C_5-а_рахункова_частина_4.pdf,Ханів,ДАКО_384-9-442._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_волость_с._Ханев%2C_13-а_переписна_дільниця%2C_4-а_рахункова.pdf, + ,ДАКО_384-9-443._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Ханев%2C_13-а_переписна_дільниця%2C_4-а_рахункова%2C_частина_2.pdf
Клювчук,1,,Ставров,,,,,,,,,,,,,Бонна,1,,Бранитский Вл.Ал.,,,,,Альперт,2,10,Бубнов,,,,,
Мартынюк,1,6,Ставров,,,,,,,,,,,,,Бонковский,1,,Бранитский Вл.Ал.,,,,,Брискин,,5,Бубнов,,,,,
Андриенко,2,8,Ставров,,,,,,,,,,,,,Литман,,3,Бранитский Вл.Ал.,,,,,Галинский,,5,Бубнов,,,,,
Охотс/цкий,1,5,Ставров,,,,,,,,,,,,,Мейлих,1,,Бранитский Вл.Ал.,,,,,Шашко,5,27,церковь,,,,,
Игнатенко,1,7,,,,,,,,,,,,,,Вихатов,1,,Бранитский Вл.Ал.,,,,,Линкевич,,3,Моргун,,,,,
Спановский,1,2,,,,,,,,,,,,,,Зражевский,,4,Священник,,,,,Костюченко,,7,,,,,,
Закусилова,1,2,Спановский,,,,,,,,,,,,,Левитский,1,,ЦПШ,,,,,Кручок,2,14,,,,,,
Приходько,2,4,Скоренок,,,,,,,,,,,,,Тележинский,,2,Священник,,,,,Матвейчук,2,13,,,,,,
Силецкий,1,,Приходько,,,,,,,,,,,,,Кулаковский,1,,ЦПШ,,,,,Хоменко,,5,,,,,,
Мырошниченко,1,4,Дыбенко,,,,,,,,,,,,,Бертман,,3,Бранитский Вл.Ал.,,,,,Грушецкий,1,,Бубнов,,,,,
Коленбет,1,4,Дыбенко,,,,,,,,,,,,,Беремкач,1,,Бранитский Вл.Ал.,,,,,Пенчук,1,,Лукьяненко,,,,,
Верищинская,1,4,,,,,,,,,,,,,,Крамаренко,1,,Бранитский Вл.Ал.,,,,,Слуцкий,,5,Бубнов,,,,,
Соловьев,1,,Верес,,,,,,,,,,,,,Туз,1,,Бранитский Вл.Ал.,,,,,Кабановский,,8,Бубнов,,,,,
Сучаг,1,,Верес,,,,,,,,,,,,,Сервинова,1,,Бранитский Вл.Ал.,,,,,Гейбович,,11,Бубнов,,,,,
Ильюшенко,1,7,,,,,,,,,,,,,,Потапенко,18,117,"Бранитский Вл.Ал., Гниденко",,,,,Лисенецкий,,6,,,,,,
Кучевский,1,5,Вельц,,,,,,,,,,,,,Долмант,1,,Бранитский Вл.Ал.,,,,,Крупник,,6,Бубнов,,,,,
Вернер,1,,Вельц,,,,,,,,,,,,,Копчинский,,4,Бранитский Вл.Ал.,,,,,Куперштейн,,6,Бубнов,,,,,
Павленко,2,12,Вельц,,,,,,,,,,,,,Байковский,1,,Бранитский Вл.Ал.,,,,,Портной,,3,Бубнов,,,,,
Дещенко,3,12,,,,,,,,,,,,,,Бровинский,,8,Бранитский Вл.Ал.,,,,,Народызский,1,,Бубнов,,,,,
Опятенко,4,26,,,,,,,,,,,,,,Соколовский,1,,Бранитский Вл.Ал.,,,,,Белорусиц,1,,Бубнов,,,,,
