Листы,Тип,Год,Нас. Пункт,Церковь,Священник,Комплектация,Фамилии,@dropdown,,,
208-226,исповедка,,,Мученицы ,,,Коваль Кочерга Верещака Швец Скориченко Майстренко Довгаль,,,,
226-247,исповедка,,Низшая Сыроватка,Архангельская,Ключников Каминский Прожанский Данилевский Самборский,1841-2345 до конца,,,,,
248-269,исповедка,1782,Великий Истороп,Святой Великомученицы Параскевии,Рубашевский,,,,,,
269-271,метрика,,,Крестовоздвиженская,Василий Яковенко,,Иваненко Петренко Губарь,,,,
271-272,список священников,,,,,,,,,,
272-281,исповедка,,,,,,Приступа Шпак Фесенко Зарецкий Кривоносенко Волошенко,,,,
281-283,исповедка,,,Покровская,,,Нет фамилий. Таблица,,,,
283-297,исповедка,1775,Хорошево,Воскресенская,Власовский,,,,,,
298-315,исповедка,,,Соборная Покровская,Петровский Чудновский Шемигонов,,Писаревский Приймаченко Майборода Зайченко Шевченко,,,,
315-332,исповедка,,Змиёв,Покровская,,,,,,,
332-333,исповедка,,,Святого Великомученика Димитрия,,,Нет фамилий. Таблица,,,,
334-368,исповедка,,Дементьевка,,,,,,,,
368-370,исповедка,1782,Писаревка,,Марк Антонович,,,,,,
370-372,исповедка,,Деркачи,Николаевская,Симеон Василиев,,,,,,
373-375,исповедка,,Деркачи,Николаевская,Симеон Сулима,,,,,,
375-378,исповедка,,Деркачи,Николаевская,Симеон Василиев,,,,,,
379-380,метрика,1779,Григорьевская ,Рождества Пресвятой Богородицы,Иосиф Немчинов,,,,,,
380-383,исповедка,,,,,,,,,,
383-386,исповедка,,,Покрова Пресвятой Богородицы,Островский Артемиев Щербинский Ушинский Островский,,,,,,
386-389,исповедка,,,Преображенская,,,Рябенко Ткаченко Овчаренко Тототенко,,,,
389-391,метрика,1767,Бобровое,Николаевская,,,Ткач Савин Бондаренко Гончар Деревянченко,,,,
391-394,исповедка,,Купянское ведомство,Николаевская,,,,,,,
394-395,исповедка,1790,Закотная,Николаевская,Иванов,,Кузнецов,,,,
395-399,исповедка,,,,,,Радченко Волошин Шевченко,,,,
399-402,исповедка,,,,,,Сердюк Цыганов Каплун Коновал Авраменко,,,,
402-404,метрика,1841,"Купянский:
Шульненка
Лозовое
Полевинкино",,"Маевский
Еванов",,,,,,
404-415,исповедка,,,,Пантелеев,,"Дудка
Свинаренко
Харченко",,,,
415-417,исповедка,,,,,,Клюшник Петко Ващенко,,,,
417-436,исповедка,,Михайловское,Троицкая,,,,,,,
436-441,исповедка,,,,Заводовский,,Чичикало Павленко Спиривцов Ладигин Рожков,,,,
441-442,метрика,1790,"Завод
Волчанской округи",Обрезания Господня,Лабинский,,,,,,
442-464,исповедка,,"Битица
Сумской округи",Александра Невского,,,,,,,
464-472,исповедка,,Братеница,Николаевская,,,,,,,
472-475,исповедка,,,,,,Ткач Клишенко Шевченко Левченко Марченко,,,,
475-511,исповедка,,Сватова Лучка,Николаевская,Чернявский Заводовский ,,,,,,
511-524,исповедка,,Камышеваха,Рождество-Богородицкая,,,,,,,
524-533,исповедка,,Камышеваха,Рождество-Богородицкая,Порошенков Савинов,,,,,,
533-539,исповедка,,Ленивка,Николаевская,Станкевич,,,,,,
539-550,исповедка,,,,,,Швидкий Колоша Троян Сологуб Соловарь Литвин Белоус,,,,
550-553,метрика,1818,Ахтырка,Покровская,Измаилов Михайловский Закрицкий Смородский,,,,,,
553-561,исповедка,,,,,,Коцеренко Борисенко Гонтарь Лабунский ,,,,
561-564,Послужной список,1834,Старобельск,,Царевский,,,,,,
564-566,исповедка,,,,,Мерный,Логачев Ольховский Лахов Исаенко Лемешев,,,,
566-573,исповедка,,Краснокутский округ,,,,,,,,
573-621,исповедка,,"Ворожба
Лебединское ведомство",,,,,,,,
621-643,исповедка,,Богодуховский округ,,,,,,,,
643-645,исповедка,,,,,,Даценко Кобзаренко Косенко Ковтуненко,,,,
645-647,список,,,,,,Нет фамилий,,,,
647-650,исповедка,,,,,,Гордиенко Даценко Шуба Дикой Мохонко,,,,
650-654,исповедка,,,Архангельская,,,Калениченко Крупа Цибульник Блажко,,,,
654-659,"исповедка
Священнослужителей",,"Валковский уезд:
Алексеевка
Новоивановка
Коломак
Калениково
Дорофеевка
Кантокузово
Ковиги",Покровская,Антонский,,,,,,
660-680,исповедка,,Хатняя,Успенская,,,,,,,
680-686,исповедка,,,Георгиевская,Степан Яковлев сын Котляревский,,Огурцов Рыжова Катасонов Посохов Алексеев Кириченко Черников ,,,,
687-698,исповедка,,Межерич,Троицкая,Миронович Лепский,,,,,,
699-699,исповедка,,,Успенская,,"Нет фамилий.
Только количество людей",,,,,
700-734,исповедка,1784,Локня,Похвалы Богоматери,Селетренников,,,,,,
734-737,исповедка,,,Успенская,,,Оберемок Задорожной Стеценко Прозоров Голубничий Тарасенко Тур Арехов,,,,
737-752,исповедка,,Локня,Похвалы Богоматери,Пётр Селетренников,,,,,,
753-754,исповедка,,?Ворожба,Покровская,,,,,,,
754-763,исповедка,,Стецковка,Димитриевская,,,,,,,
763-774,список нас. Пунктов и церквей,,Харьковский уезд,,,Нет фамилий,,,,,
