Католики,А,Б1,Б2,Б3,В1,В2,В3,Г1,Г2,Д1,Д2,Е,Є,Ж,З1,З2,І,Й,К1,К2,К3,К4,Л1,Л2,М1,М2,М3,Н,О,П1,П2,П3,Р1,Р2,Р3,С1,С2,С3,Т1,Т2,У,Ф,Х,Ц,Ч,Ш1,Ш2,Щ,Ю,Я
,,Бєлінський,Большаков,Буяковський,Вермінський,Войцехович,,Голембіовський,Грохольський,Дережинський,Дульський,,,,Зволинський,,,,Качковський,Кондратьєв,Краснодемський,Кунинський,Лєсковський,Любанський,Матизи,Мірецький,,Новінський,,Перетяткович,Подвисоцький,Пшездецький,Рехерт,Росянський,,Сербиновський,Собінєвський,Студинський,Тонанихін,,,,,,,Шмігельський,,,,Ячинський
,,Бєльський,Бондаржевський,Бялковський,Верпаховський,Войцеховський,,Голємбіовський,Грудзинський,Деренгович,Думанський,,,,Зволінський,,,,Кашубський,Коневський,Красовський,Куницький,Лєсовський,Лямпарський,Матковський,Місюревич,,Новіцький,,Пермен,Подлєвський,Пшибильський,Решнтовський,Рошковський,,Серветник,Соболевський,Субботин,Топоровський,,,,,,,Шмідтке,,,,Ящишен
,,Бєчище,Бончкевич,Бяльковський,Вехецький,Волинський,,Голинський,Грудінський,Держиновський,Дунаєвський,,,,Згерський,,,,Квітковський,Коньський,Крегер,Кунінський,Ливанський,Лясковський,Матусевич,Міхаловський,,Новотний,,Петерець,Подлісецький,Пьонтковський,Ржонмицький,Рощевський,,Сердинський,Совієвський,Суський,Торчинський,,,,,,,Шмітер,,,,Ящут
,,Бжеський,Бончковський,,Вещицький,Волос,,Голуб,Грушецький,Дєнькевич,Дунський,,,,Зелезняк,,,,Квятковський,Копець,Кренік,Купчик-Фурман,Липинський,Лясота,Махніцький,Міхальський,,Новочевський,,Петерковський,Подубінський,П'янтковський,Рибак,Рощенюк,,Серпінський,Соколовський,Сухомлин,Трачевський,,,,,,,Шолтий,,,,
25,,Бжозовський,Борецький,,Вєнгранович,Волосецький,,Голубовський,Гулевич,Джегужевський,Дурай,,,,Зеленай,,,,Кжевіський,Копєський,Крепік,Куровський,Липінський,Лящевський,Мацков,Міхальчевський,,Нуджевський,,Петриковський,Поживьонковський,,Рибицький,Рощин,,Сєдлецький,Сорочинський,Сушицький,Третін,,,,,,,Шолтун,,,,
,,Бивєйнас,Боржиловський,,Вєнгринович,Вольський,,Гонцковський,Гуменний,Дзівановський,Духновський,,,,Зелінський,,,,Кисилевський,Корбут,Кретович,Курцвейг,Липницький,,Мацнер,Міхль,,,,Петровський,Поздєлов,,Рибіцький,Рубанков,,Сємковський,Сосновський,Сциславський,Трінкевич,,,,,,,Шпаковський,,,,
,,Бистрецький,Борильський,,Вибодовський,Вольт,,Горальський,Гумінський,Дзюбинський,Душин,,,,Зельбицький,,,,Клевак,Корентович,Кржевінський,Курьят,Листопадський,,Мацянюк,Міщук,,,,Печ,Позняк,,Рибчинський,Руг,,Сидорович,Спасовський,,Троцький,,,,,,,Шпілевський,,,,
,,Бистрицький,Борисюк,,Видавський,Волянський,,Горжевський,Гурита,Дзяворук,Душинська,,,,Зєлковський,,,,Клевер,Корнатовський,Кривицький,Кусецький,Лінднер,,Мачковський,Могучий,,,,Пєньковський,Полонський,,Рильський,Руденко,,Сидорчук,Спув,,Трусецький,,,,,,,Штефко,,,,
,,Бізольд,Борковський,,Видулінський,Ворела,,Городецький,Гурський,Дибчинський,Душинька,,,,Зєлонка,,,,Клецько,Корсак,Крижановський,Кусінський,Ліневич,,Машер,Модяновський,,,,Пєшинський,Поляковський,,Рисавий,Рудзінський,,Силеченко,Стабіовський,,Труцький,,,,,,,Штус,,,,
30,,Білецький,Боровський,,Виницький,Вржесневський,,Горський,Гутовський,Диновський,Дюнсбір,,,,Зигард,,,,Клімашевський,Корчаковський,Криницький,Кучинський,Лінович,,Машкевич,Мойсеєвич,,,,Пєшков,Полянський,,Рисич,Рудик,,Симон,Стажинський,,Тумашевський,,,,,,,Шульц,,,,
,,,,,,,,,,,Дюфрен,,,,,,,,,,Криштофович,Кушковський,,,,,,,,,,,,,,,,,,,,,,,,,,,,
