Чановецкий,Чановецький,2,13,"Кудрицкий, Дмитренко",,,,,
Герасименко,Герасименко,4,13,Курганский,,,,,
Кушнирский,Кушнирський,3,11,"Василенко, Любиш, Курганский",,,,,
Осадчий,Осадчий,2,10,,,,,,
Чирик,Чирик,2,10,,,,,,
Шмигун,Шмигун,2,10,,,,Шмигун,,
Борсук,Борсук,3,10,Гриценко,Борсук,,,,
Вепринский,Вепринський,3,10,"Степаненко, Козяр, Скопич",,,,,
Брагинский,Брагинський,2,9,"Коваль, Кашпирка",,,,,
Левитский,Левитський,2,9,"Моисеенко, Шмигун",,,Левицький,,
Олевский,Олевський,2,9,"Кравченко, Худенко",,,,,
Лыч,Лич,3,9,Пархоменко,,,,,
Бураковский,Бураковський,,9,Хоменко,,,,,
Рабинович,Рабинович,,9,Любиш,,,,,
Трофименко,Трофименко,,9,,,,,,
Гончаренко,Гончаренко,2,8,Троценко,Гончаренко,,,,
Примаченко,Примаченко,2,8,,,,Примаченко,,
Радовильский,Радовильський,2,8,"Скопич, Моисеенко",,,,,
Козел,Козел,3,8,Пархоменко,,,Козлов,,
Голубчик,Голубчик,,8,Гузь,,,,,
Мишко,Мишко,,8,,,,,,
Дударенко,Дударенко,,7,,Дударенко,,,,
Людвиченко,Людвиченко,,7,,,,,,
Сорока,Сорока,,7,Прищепа,,,,,
Ворон,Ворон,2,6,Пархоменко,Ворон,,,,
Руденко,Руденко,2,6,,,,Руденко,,
Демьяненко,Дем'яненко,,6,,,,,,
Кононенко,Кононенко,,6,,,,Конончук,,
Кравец,Кравець,,6,,,,,,
Крейтман,Крейтман,,6,Гриценко,,,,,
Примаков,Примаков,,6,Борсук,,,,,
Горкуша,Горкуша,2,5,Конончук,,,,,
Гузь,Гузь,2,5,,Кузькова,,,,
Савченко,Савченко,2,5,Алексеенко,,,,,
Бекша,Бекша,,5,Об.нар.училище,,,,,
Драпей,Драпей,,5,,,,,,
Замятчинский,Замятчинський,,5,Каз.усадьба,,,,,
Каган,Каган,,5,Проценко,,,,,
Коваленко,Коваленко,,5,,Коваленко,,,,
Мыслик,Мислик,,5,,,,,,
Дубас,Дубас,2,4,Кудрицкий,,,,,
Бирюк,Бірюк,,4,,Бірюк,,,,
Петренко,Петренко,,4,,,,,,
Семененко,Семененко,,4,,,,,,
Федоренко,Федоренко,2,3,"Шумак, Гриценко",,,Федоренко,,
Андриевский,Андрієвський,,3,Ткач,,,Андрієвський,,
Когодовский,Когодовський,,3,Церковь,,,,,
Мирошенко,Мирошенко,,3,,,,,,
Толочин,Толочин,,3,,,,,,
Факторович,Факторович,,3,Давыденко,,,,,
Чернобыльский,Чернобильський,,3,Борсук,,,,,
Шпилянский,Шпилянський,,3,Любиш,,,,,
Безпалов,Безпалов,,2,Прищепа,,,,,
Левковский,Левковський,,2,,,,,,
Лисовой,Лісовой,,2,Дубас,,,,,
Лотоцкий,Лотоцький,,2,Пархоменко,,,,,
Репик,Репик,,2,,,,,,
Розман,Розман,,2,Кашпирка,,,,,
Солуха,Солуха,,2,Моисеенко,,,,,
Сульженко,Сульженко,,2,,,,,,
Бир/денко,Біренко,1,,Бабенко,,,,,
Бурхаленко,Бурхаленко,1,,Руденко,,,,,
Веремьенко,Веремьєнко,1,,Гук,,,,,
Виницкий,Виницький,1,,Скопич,,,,,
Власенко,Власенко,1,,Каз.усадьба,,,,,
Дегтяренко,Дегтяренко,1,,Хабенский,,,,,
Кофман,Кофман,1,,Хабенский,,,,,
Кушак,Кушак,1,,,,,,,
Ольшанский,Ольшанський,1,,Церковь,,,,,
Осадтая,Осадтая,1,,Гавриленко,,,,,
Подвойский,Подвойський,1,,Якименко,,,,,
Рабкин,Рабкин,1,,Скопич,,,,,
Старосельский,Старосельський,1,,Кашпирка,,,,,
Файперман,Файперман,1,,Моисеенко,,,,,
Цигинчук,Цигинчук,1,,Скабицкий,,,,,
Черняховский,Черняховський,1,,Кашпирка,,,,,
Якушенко,Якушенко,1,,Шумак,,,,,
,,613,3202,,,,,,,,,
