ф оп спр,,Православні1,Православні2,Православні3,Православні4,Православні5,Православні6,Православні7,Православні8,Православні9,Православні10,Православні11,Православні12,Православні13,Православні14,Православні15,Православні16,Православні17,Православні18,Православні19,Православні20,Православні21,Православні22,Православні23,Православні24,Православні25,Православні26,Православні27,Православні28,Православні29,Православні30
384-4-183,,Андрейчук,Безнищук,Бровков,Вілецький,Герман,Грицюк,Домбровський,Жаворонок,Зарицький,Ігнацький,Кільчицький,Колоколов,Кравченко,Куцюк,Лищук,Марицький,Михальчук,Назарець,Олійник,Петровський,Прадкін,Робов,Сачьок,Сіантович,Соучек,Тимонін,Федорчук,Цигаловський,Шебєсов,Якимчук
384-4-184,,Андреянов,Бельмон,Броворов,Вінч,Гирмак,Гришкевич,Домошкан,Жак,Зарудний,Іздебський,Кіхтенко,Коломієць,Кравчук,Куцюрба,Лобков,Маркевич,Михалюк,Найшевський,Ольхович,Петрук,Присовський,Ровас,Свиридовський,Сіга/оров,Спиридонов,Титюнников,Феодоров,Циган,Шевчук,Яковець
384-4-185,,Андрєєв,Берборова,Бродоський,Вітковський,Глинка,Григор'єв,Дончак,Желуцький,Зарудчак,Ізопольський,Климович,Коломійченко,Краснощек,Кучерук,Логвиненко,Маркотинюк,Михельзон,Наумов,Ольчевський,Петченко,Присяжников,Рогочій,Свирський,Сідоров,Стаднік,Тищенко,Фімаєр,Циголовський,Шекер,Якубовський
,,Андріяш,Берг,Брюханов,Власов,Гнатюк,Гронтковський,Дорогайцев,Жиглов,Затишний,Ільїн,Климчук,Комендантов,Красовський,Кушнарюк,Логвинович,Мартинович,Міалковський,Негриш,Ольшанський,Пешко,Прихотько,Родзинський,Світлиця,Сідорович,Старков,Тісоцький,Фіногєєв,Цикаловський,Шепєлєв,Якушев
,15,Антонов,Бернадцький,Будніков,Войко,Голесевич,Гуляткін,Дорощук,Жиліховський,Захарченко,Ільницький,Коберський,Конончук,Красуський,Кушнір,Логінов,Мартинюк,Мізерницький,Нелипович,Омельянюк,Пешко,Причка,Роїк,Сезенюк,Скляренко,Стасюк,Ткаченко,Фіщук,Чайковський,Шеремета,Ямчук
,,Антонюк,Беспалов,Бутенко,Война,Головков,Гурський,Драбцюн,Жильков,Захарьєвич,Ільченков,Кобрин,Коперсак,Кратохвил,Лавровський,Логодюк,Масляковський,Мікілеченков,Немировський,Оменюк,Пилипенко,Протоцький,Романов,Семенченко,Скригін,Статкевич,Том,Фодоровський,Чеглов,Шибєсов,Яніцький
,,Арсенюк,Бидюк,Бушинський,Войтюк,Голубков,Гутовський,Дробяга,Житкевич,Зачьосов,Імгарт,Ковалевич,Корбут,Кривенко,Лагодюк,Лопата,Маслянніков,Міленевський,Нестеренко,Омецький,Пироговський,Прошка,Романовський,Семенюк,Сладкевич,Стахорський,Томашевський,Фон-Марбах,Червінський,Шилифостов,Янковський
,,Артеменчук,Биковський,Ваврівський,Войцеховський,Гомонюк,Дане/илюк,Дробязга,Жмакін,Зашлєєв,Іолін,Ковалевський,Кореновський,Крижановський,Лактіонов,Лосєв,Матвєєв,Міліневський,Нестеровський,Опонович,Піньковський,Пугачов,Романчишин,Семко,Слесаренко,Стащук,Томащук,Фролов,Черетенко,Шилюк,Яновський
,,Артикула,Білецький,Ваколюк,Волков,Гончак,Данек,Дровецький,Жуль,Заяц,Іщенко,Коваль,Корецький,Крижанський,Ланинік,Лосицький,Матвієнко,Мілішевський,Нещадимов,Оранський,Піпень,Пузиревич,Ромасевич,Сенькевич,Слєдь,Стелімовський,Томбрат,Фуріяка,Черкаський,Шиманський,Ярославський
,20,Артикуло,БілоШапченко,Вакуленко,Володін,Горбатюк,Данченко,Друбатюк,Журавич,Звіревич,Іщук,Ковальський,Корогодін,Криницький,Лапинський,Лукашевич,Матвійчук,Можаровський,Никиферов,Орачевський,Пічкур,Пушкар'єв,Рудик,Сергєєв,Слєпухов,Стецюк,Томлянкін,Халов,Черницький,Широких,Яроцький
,,Атанасьєвич,Блищинський,Валиневич,Вондрачек,Гординський,Дарій,Дубасов,Журба,Зволибовський,Казмирук,Ковальчук,Король,Кродзевич,Лащевський,Магдич,Матковський,Мокрійчук,Нікітін,Орлов,Плєскачьов,Радкієвич,Рудницький,Сергієнко,Слінка,Стицюк,Тотбрат,Харченко,Чернов,Шиян,Ященко
,,Афанасьєв,Блощинський,Валюшка,Вондровський,Гордіюк,Демчик,Дубіковський,Журбин,Зенченко,Камлук,Ковалюк,Коротченко,Крушинський,Левинський,Магульський,Маціюк,Молчановський,Нікіфоров,Осауленко,Плостун,Райбійчук,Рутковський,Середюк,Слободовський,Страшевський,Тра/инчук,Хвещук,Чернявський,Школьнинко,
,,Бабенко,Бобак,Варавін,Ворона,Гордульський,Демчикинов,Душин,Заблоцький,Знаєвський,Канатьєв,Ковбак,Корчагін,Кудрін,Левицький,Мазур,Мацмелюк,Момонт,Ніколайчук,Осташевський,Побережнюк,Ралецький,Ручка,Сиваковський,Слободяник,Стржанковський,Травинський,Хітьков,Черняховський,Шмарьєв,
,,Бабій,Богушевський,Василевський,Ворончук,Горєлов,Демчук,Дюновський,Заболотний,Зозуля,Каневський,Ковда,Косиненко,Кулебанов,Левковський,Майданський,Мацюк,Монтуров,Нікулін,Остоков,Подворний,Раницький,Рябокожушний,Сидоренко,Слюсар,Ступчевський,Трачук,Хмелюк,Чижевський,Шоломков,
,25,Баденко,Боїк,Василишин,Востріков,Горина,Денисенко,Дячков,Завадинський,Зоргач,Карзюков,Ковченко,Костинаев,Кулема,Левченко,Майструк,Меленевський,Моргуненко,Ністерук,Очередник,Подворніюк,Ратковський,Сабо,Сидорович,Смірнов,Суловський,Тро/унчук,Хмелюнов,Чижов,Шпортко,
