№,Surname,,,,стр
154,Федорченко,,,,631
157,Шевченко,,,,631
160,Демьяненко,,,,631
175,Оноприенко,,,,632
182,Гой,,,,632
185,Паталих,,,,632
187,Мовчан,,,,632
188,Кутовой,,,,632
190,Мовчан,,,,632
196,Неквин?,,,,632
198,Вышинский,,,,632
201,Мурга,,,,632
270,Бондаренко,,,,633
217,Соломка,,,,633
225,Полывяный,,,,633
231,Бондаренко,,,,633
232,Рябошапка,,,,633
233,Дзюндзя,,,,633
237,Онищенко,,,,633
241,Ващенко,,,,633
247,Коваленко,,,,633
250,Сыч,,,,634
252,Багрий,,,,634
318,Бондарь,,,,634
264,Драпой,,,,634
320,Федорченко,,,,634
267,Высоцкий,,,,634
270,Вышинский,,,,634
273,Онищенко,,,,634
330,Токарь,,,,634
335,Соломка,,,,634
338,Онищенко,,,,634
280,Дубовой,,,,635
284,Керененко?,,,,635
389,Кушта,,,,635
391,Соломка,,,,635
294,Слободянко,,,,635
303,Майка,,,,635
314,Бондаренко,,,,635
316,Корженко,,,,635
319,Бондаренко,,,,636
328,Осташенко?,,,,636
329,Киприяненко,,,,636
395,Высоцкий,,,,636
402,Драпой,,,,636
339,Бойко,,,,636
341,Корж? Корон?,,,,636
344,Бабий,,,,636
414,Пустовойт,,,,636
355,Нен?,,,,637
356,Након?,,,,637
359,Драпой,,,,637
435,Белобровь,,,,637
440,Ткаченко,,,,637
371,Головань,,,,637
449,Мурженко,,,,637
377,Драпой,,,,637
379,Яценко,,,,637
381,Олейник,,,,637
387,Тарасенко,,,,638
388,Драпой,,,,638
460,Соломка,,,,638
394,Зубриенко,,,,638
398,Федорченко,,,,638
405,Ходак,,,,638
408,Полывяный,,,,638
409,Онищенко,,,,638
412,Кривобок,,,,638
414,Соломка,,,,638
415,Субота,,,,638
419,Демьяненко,,,,638
484,Дубов,,,,639
423,Ворона,,,,639
433,Грушевый,,,,639
439,Кутовой,,,,639
443,Бойко,,,,639
510,Овчаренко,,,,639
447,Кутовой,,,,639
448,Ткаченко,,,,639
452,Соломка,,,,639
454,Демьяненко,,,,639
459,Белобровь ,,,,640
461,Драпой,,,,640
466,Дзюндзя,,,,640
468,Бойко,,,,640
541,Белобровь,,,,640
549,Мазий,,,,640
481,Кутовой,,,,640
557,Киварин?,,,,640
494,Рубан,,,,640
495,Примак,,,,640
562,Шикар?,,,,640
563,Кутовой,,,,641
499,Василенко,,,,641
509,Стодильный,,,,641
511,Головань,,,,641
585,Василенко,,,,641
521,Полывяный,,,,641
524,Матенченко?,,,,641
527,Слободянко,,,,641
530,Полывяный,,,,641
532,Федорченко,,,,642
540,Шарий,,,,642
614,Бондаренко,,,,642
541,Пустовойт,,,,642
544,Шевченко,,,,642
545,Матинченко?,,,,642
547,Токарь,,,,642
621,Шевченко,,,,642
549,Удовиченко,,,,642
554,Бондаренко,,,,642
559,Гноевой,,,,642
631,Бондаренко,,,,642
571,Огаренок,,,,642
578,Кутовой,,,,643
579,Мазий,,,,643
694,Паталих,,,,643
657,Кушта,,,,643
589,Кривобок,,,,643
595,Белобровь,,,,643
670,Кучеренко,,,,643
597,Токарь,,,,643
599,Кучеренко,,,,643
603,Токарь,,,,643
607,Басараб,,,,643
684,Волосожар,,,,643
608,Мазий,,,,643
613,Белобровь,,,,644
616,Кучеренко,,,,644
691,Волосожар,,,,644
620,Кушта,,,,644
623,Дряпой,,,,644
630,Овчаренко,,,,644
633,Стовбира,,,,644
